category,group_size,product1_name,product1_url,product1_price,product1_rating,product1_reviews,product2_name,product2_url,product2_price,product2_rating,product2_reviews,product3_name,product3_url,product3_price,product3_rating,product3_reviews
Lenses,3,Canon EF 75-300mm f/4-5.6 III USM Telephoto Zoom Lens for Canon SLR Cameras,${env.abxlab_url}canon-ef-75-300mm-f-4-5-6-iii-usm-telephoto-zoom-lens-for-canon-slr-cameras.html,136.9,80.0,12,7artisans 7.5mm f2.8 II Manual Fisheye Lens Compatible with MFT M4/3 Mount Cameras GM1 GM5 GM7 GX1 GX7 GX8 EPM1 EPM2 E-P1 E-P2 E-P3 E-P5 E-M1 E-M1II E-M5 E-M5II,${env.abxlab_url}7artisans-7-5mm-f2-8-ii-manual-fisheye-lens-compatible-with-mft-m4-3-mount-cameras-gm1-gm5-gm7-gx1-gx7-gx8-epm1-epm2-e-p1-e-p2-e-p3-e-p5-e-m1-e-m1ii-e-m5-e-m5ii.html,139.0,83.0,12,Panasonic Lumix G H-H020 20mm f/1.7 Aspherical Pancake Lens for Micro Four Thirds Interchangeable Digital SLR Cameras,${env.abxlab_url}panasonic-lumix-g-h-h020-20mm-f-1-7-aspherical-pancake-lens-for-micro-four-thirds-interchangeable-digital-slr-cameras.html,158.0,90.0,12
Deodorants & Antiperspirants,3,Mitchum For Women Advanced Control Anti-Perspirant Deodorant Invisible Solid Pure Fresh 2.70 oz (Pack of 6),${env.abxlab_url}mitchum-for-women-advanced-control-anti-perspirant-deodorant-invisible-solid-pure-fresh-2-70-oz-pack-of-6.html,22.18,87.0,12,6 Pack Dove Men + Care Elements Mineral Talc Sandalwood Antiperspirant Spray 150ml,${env.abxlab_url}6-pack-dove-men-care-elements-mineral-talc-sandalwood-antiperspirant-spray-150ml.html,23.59,90.0,2,"Dove Men+Care Antiperspirant hydrating, water-based deodorant Coastal Cedar with our best non-irritant formula 2.6 oz 2 Count",${env.abxlab_url}dove-men-care-antiperspirant-hydrating-water-based-deodorant-coastal-cedar-with-our-best-non-irritant-formula-2-6-oz-2-count.html,23.98,85.0,12
Yogurt,3,"365 by Whole Foods Market, Yogurt Greek Plain Non Fat Organic, 32 Ounce",${env.abxlab_url}365-by-whole-foods-market-yogurt-greek-plain-non-fat-organic-32-ounce.html,25.52,82.0,42,"siggi's Triple Cream Icelandic Strained Yogurt, Vanilla, 4-oz. Single Serve Cup",${env.abxlab_url}siggi-s-triple-cream-icelandic-strained-yogurt-vanilla-4-oz-single-serve-cup.html,25.86,87.0,12,"Fage Total Greek Yogurt, 2%, Honey, 5.3 oz",${env.abxlab_url}fage-total-greek-yogurt-2-honey-5-3-oz.html,28.67,90.0,55
Chocolate,3,"Ethel M. Chocolates Classic Collection Candy Gift Box 16Piece Premium Chocolate Assortment, 14.51 Ounce",${env.abxlab_url}ethel-m-chocolates-classic-collection-candy-gift-box-16piece-premium-chocolate-assortment-14-51-ounce.html,34.98,90.0,12,See's Candies 1 lb Classic Birthday Assorted Chocolates,${env.abxlab_url}see-s-candies-1-lb-classic-birthday-assorted-chocolates.html,36.8,100.0,1,"GODIVA Chocolatier Signature Mini Bars, Set of 6, 8pc Each, Variety Pack- (Roasted Almond Dark Chocolate, 72% Cacao Dark,Salted Caramel Milk Chocolate) By CANDY CABIN",${env.abxlab_url}godiva-chocolatier-signature-mini-bars-set-of-6-8pc-each-variety-pack-roasted-almond-dark-chocolate-72-cacao-dark-salted-caramel-milk-chocolate-by-candy-cabin.html,36.95,100.0,1
Earbud Headphones,3,Wireless Earbuds,${env.abxlab_url}wireless-earbuds.html,62.16,53.0,12,Wireless V5 Bluetooth Earbuds Works for Apple iPhone 12/12 Pro/12 Pro Max/12 Mini with Charging case for in Ear Headphones. (V5.0 Black),${env.abxlab_url}wireless-v5-bluetooth-earbuds-works-for-apple-iphone-12-12-pro-12-pro-max-12-mini-with-charging-case-for-in-ear-headphones-v5-0-black.html,62.69,60.0,4,"SAMSUNG Level U Bluetooth Wireless In-ear Headphones with Microphone, Black Sapphire",${env.abxlab_url}samsung-level-u-bluetooth-wireless-in-ear-headphones-with-microphone-black-sapphire.html,74.95,63.0,12
Wine,3,"BRIANNAS Blush Wine Vinaigrette Dressing, 12 Fl Oz",${env.abxlab_url}briannas-blush-wine-vinaigrette-dressing-12-fl-oz.html,16.0,67.0,12,Fentimans Dandelion & Burdock 275ml,${env.abxlab_url}fentimans-dandelion-burdock-275ml.html,18.18,76.0,10,"Franzia Refreshing White, 5 L",${env.abxlab_url}franzia-refreshing-white-5-l.html,23.93,75.0,4
Pasta & Noodles,3,"YUHO Shirataki Konjac Rice, 8 Pack Inside, Vegan, Low Calorie Food, Gluten Free, Fat Free, Keto Friendly, Low Carbs, Holiday Gifts, Healthy Diet 53.61 Oz (1520 g)",${env.abxlab_url}yuho-shirataki-konjac-rice-8-pack-inside-vegan-low-calorie-food-gluten-free-fat-free-keto-friendly-low-carbs-holiday-gifts-healthy-diet-53-61-oz-1520-g.html,21.99,70.0,12,"YUHO Organic Shirataki Konjac Pasta 8 Pack Inside, Vegan, Low Calorie Food, Fat Free, Keto Friendly, Zero Carbs, Holiday Gifts, Healthy Diet Pasta 53.61 Oz, 8 Rice",${env.abxlab_url}yuho-organic-shirataki-konjac-pasta-8-pack-inside-vegan-low-calorie-food-fat-free-keto-friendly-zero-carbs-holiday-gifts-healthy-diet-pasta-53-61-oz-8-rice.html,22.99,73.0,12,"YUHO Organic Shirataki Konjac Pasta 8 Pack Inside, Vegan, Low Calorie Food, Fat Free, Keto Friendly, Zero Carbs, Holiday Gifts, Healthy Diet Pasta 53.61 Oz, 8 fettuccine",${env.abxlab_url}yuho-organic-shirataki-konjac-pasta-8-pack-inside-vegan-low-calorie-food-fat-free-keto-friendly-zero-carbs-holiday-gifts-healthy-diet-pasta-53-61-oz-8-fettuccine.html,22.99,68.0,12
On-Ear Headphones,3,Sony ZX110NC Noise Cancelling Headphones,${env.abxlab_url}sony-zx110nc-noise-cancelling-headphones.html,44.99,83.0,12,JBL TUNE500BT Wireless On-Ear Headphones with One-Button Remote and Mic (White),${env.abxlab_url}jbl-tune500bt-wireless-on-ear-headphones-with-one-button-remote-and-mic-white.html,45.32,77.0,12,"LEVN Bluetooth Headset with Microphone, Trucker Bluetooth Headset with AI Noise Cancelling & Mute Button, Wireless On-Ear Headphones 60 Hrs Working Time, for Trucker Home Office Remote Work Zoom",${env.abxlab_url}levn-bluetooth-headset-with-microphone-trucker-bluetooth-headset-with-ai-noise-cancelling-mute-button-wireless-on-ear-headphones-60-hrs-working-time-for-trucker-home-office-remote-work-zoom.html,49.99,85.0,11
Toothpaste,3,"Charcoal Toothpaste Xtra Whitening Toothpaste - Zero Waste & Compostable 4.5 oz Glass Bottle by Lucky Teeth - All Natural, Organic, Remineralizes and Fortifies Teeth and Gums. (1 Bottle)",${env.abxlab_url}charcoal-toothpaste-xtra-whitening-toothpaste-zero-waste-compostable-4-5-oz-glass-bottle-by-lucky-teeth-all-natural-organic-remineralizes-and-fortifies-teeth-and-gums-1-bottle.html,29.0,96.0,10,"Close-Up Anticavity Fluoride Toothpaste Gel Cinnamon - 6 oz, Pack of 6",${env.abxlab_url}close-up-anticavity-fluoride-toothpaste-gel-cinnamon-6-oz-pack-of-6.html,29.66,100.0,1,DawnMist Toothpaste .6 oz (Box of 144),${env.abxlab_url}dawnmist-toothpaste-6-oz-box-of-144.html,29.95,100.0,5
Cookies,3,"Mulino Bianco: ""Chicche"" Shortcake filled with cocoa cream - 7.05 Oz (200g) [ Italian Import ]",${env.abxlab_url}mulino-bianco-chicche-shortcake-filled-with-cocoa-cream-7-05-oz-200g-italian-import.html,22.0,65.0,5,Fresh Sicilian Candied Orange Peel - Frank and Sal Bakery.. 1 Pound,${env.abxlab_url}fresh-sicilian-candied-orange-peel-frank-and-sal-bakery-1-pound.html,22.0,73.0,11,"Voortman Bakery Strawberry Wafers 10.6 Ounces (Pack of 4) Baked with Real Strawberries, No Artificial Colors or Flavors, No High-Fructose Corn Syrup",${env.abxlab_url}voortman-bakery-strawberry-wafers-10-6-ounces-pack-of-4-baked-with-real-strawberries-no-artificial-colors-or-flavors-no-high-fructose-corn-syrup.html,22.25,73.0,3
