category,product1_name,product1_url,product1_price,product1_rating,product2_name,product2_url,product2_price,product2_rating,product1_reviews,product2_reviews
Digital Cameras,"Nikon COOLPIX B500 Wi-Fi, NFC Digital Camera w/40x Zoom & HD Video (Plum) - International Version (No Warranty) + 4 AA Batteries with Charger + 10pc 32GB DLX Accessory Kit w/HeroFiber Cleaning Cloth",${env.abxlab_url}nikon-coolpix-b500-wi-fi-nfc-digital-camera-w-40x-zoom-hd-video-plum-international-version-no-warranty-4-aa-batteries-with-charger-10pc-32gb-dlx-accessory-kit-w-herofiber-cleaning-cloth.html,52.74,87.0,Fujifilm Finepix S5100 4MP Digital Camera with 10x Optical Zoom,${env.abxlab_url}fujifilm-finepix-s5100-4mp-digital-camera-with-10x-optical-zoom.html,52.97,82.0,12,66
Over-Ear Headphones,Focal Focal Elegia Closed-Back Circum-Aural Headphones (Black),${env.abxlab_url}focal-focal-elegia-closed-back-circum-aural-headphones-black.html,529.95,90.0,Denon AH-D5200 Over-Ear Headphones,${env.abxlab_url}denon-ah-d5200-over-ear-headphones.html,699.0,100.0,3,3
Earbud Headphones,Wireless V5 Bluetooth Earbuds Works for Apple iPhone 12/12 Pro/12 Pro Max/12 Mini with Charging case for in Ear Headphones. (V5.0 Black),${env.abxlab_url}wireless-v5-bluetooth-earbuds-works-for-apple-iphone-12-12-pro-12-pro-max-12-mini-with-charging-case-for-in-ear-headphones-v5-0-black.html,62.69,60.0,"SAMSUNG Level U Bluetooth Wireless In-ear Headphones with Microphone, Black Sapphire",${env.abxlab_url}samsung-level-u-bluetooth-wireless-in-ear-headphones-with-microphone-black-sapphire.html,74.95,63.0,4,12
Speakers,New OEM DELL Multimedia Soundbar Speaker Sound Bar AX510 Black AX510PA C730C DW711 LCD 468-7411 313-6412 313-6219 313-6413 313-6412 Monitor Flat Panel Screen Black Home Theater Ultrasharp,${env.abxlab_url}new-oem-dell-multimedia-soundbar-speaker-sound-bar-ax510-black-ax510pa-c730c-dw711-lcd-468-7411-313-6412-313-6219-313-6413-313-6412-monitor-flat-panel-screen-black-home-theater-ultrasharp.html,39.98,87.0,Soundbar+Wireless Subwoofer Home Theater System For Sharp HDTV Television TV,${env.abxlab_url}soundbar-wireless-subwoofer-home-theater-system-for-sharp-hdtv-television-tv.html,42.67,78.0,12,10
Mirrors,"The Hillman Group 122200 Mirror Rosettes, Clear",${env.abxlab_url}the-hillman-group-122200-mirror-rosettes-clear.html,9.58,85.0,"Kate and Laurel Hogan 9 Windowpane Wood Wall Mirror, Rustic Caramel 26x32",${env.abxlab_url}kate-and-laurel-hogan-9-windowpane-wood-wall-mirror-rustic-caramel-26x32.html,10.9,80.0,11,12
Video Projectors,NEC NP410W 2600 Lumens LCD Projector,${env.abxlab_url}nec-np410w-2600-lumens-lcd-projector.html,599.0,100.0,Mitsubishi  DLP Projector (XD90U),${env.abxlab_url}mitsubishi-dlp-projector-xd90u.html,599.95,100.0,1,1
Cheese,PIKNIK WHITE CHEESE.,${env.abxlab_url}piknik-white-cheese.html,29.15,100.0,FULVI Grated Pecorino Romano,${env.abxlab_url}fulvi-grated-pecorino-romano.html,29.57,92.0,1,12
Cheese,Queijo Minas Mineiro Curado Brazilian Minas Cheese Gourmet Aged Cheese,${env.abxlab_url}queijo-minas-mineiro-curado-brazilian-minas-cheese-gourmet-aged-cheese.html,33.99,85.0,Bond Ost Whole Round With Caraway Seed,${env.abxlab_url}bond-ost-whole-round-with-caraway-seed.html,39.95,87.0,4,3
Cheese,FULVI Grated Pecorino Romano,${env.abxlab_url}fulvi-grated-pecorino-romano.html,29.57,92.0,Genuine Pecorino Romano - Sold by the pound,${env.abxlab_url}genuine-pecorino-romano-sold-by-the-pound.html,32.98,84.0,12,11
Cell Phones,Xiaomi Redmi Note 10 Pro | 128GB 6GB RAM | Factory Unlocked (GSM ONLY | Not Compatible with Verizon/Sprint) | International Model (Glacier Blue),${env.abxlab_url}xiaomi-redmi-note-10-pro-128gb-6gb-ram-factory-unlocked-gsm-only-not-compatible-with-verizon-sprint-international-model-glacier-blue.html,300.0,73.0,"Unihertz Atom XL, The Smallest DMR Walkie-Talkie Rugged Smartphone Android 10 Unlocked 6GB+128GB",${env.abxlab_url}unihertz-atom-xl-the-smallest-dmr-walkie-talkie-rugged-smartphone-android-10-unlocked-6gb-128gb.html,339.99,68.0,12,12
